time,signal
0.0,-1.0119326126275594
0.001,-0.7219487033148968
0.002,-1.1185523225685146
0.003,-1.70153768640386
0.004,-1.4588515619164002
0.005,-0.8229939087815296
0.006,-0.7064770501768223
0.007,-0.723004680401059
0.008,-1.1223830980556697
0.009000000000000001,-1.1520378733763679
0.01,-1.2191803725664685
0.011,-1.2084502544758111
0.012,-1.5219229603507463
0.013000000000000001,-0.6828502210399083
0.014,-0.5966453066441451
0.015,-0.511385370361291
0.016,-0.26217392770615866
0.017,-0.7994162224133543
0.018000000000000002,-1.023499583364516
0.019,-0.7617495510373227
0.02,-0.45319567681916795
0.021,-0.8152903891589303
0.022,-0.9381393922978626
0.023,-0.7498082911558159
0.024,-0.12478114775156457
0.025,-0.7028616166058691
0.026000000000000002,-0.4267869759214157
0.027,-0.40258911546394127
0.028,-0.48199682696473173
0.029,-0.7317711811547901
0.03,-0.18328660053297563
0.031,-0.5668406856354138
0.032,-0.5378417128523452
0.033,-0.680901628029887
0.034,-0.20492421950638284
0.035,-0.11694823677528354
0.036000000000000004,-0.7373197529476504
0.037,-0.6673339275977768
0.038,-0.39422338671559076
0.039,-0.4662791391293206
0.04,-0.6908187702604348
0.041,-0.18784890790734388
0.042,-0.7586831021328264
0.043000000000000003,-0.8703216516754417
0.044,-0.4903366519220129
0.045,-0.5653477258419
0.046,-0.5906915542228359
0.047,-0.3811577177863763
0.048,-0.41175528216238694
0.049,-0.027575950770189483
0.05,-0.37393752837011507
0.051000000000000004,-0.8051052694072378
0.052000000000000005,-0.6097769175718959
0.053,-0.683909584278945
0.054,-0.9531786457501988
0.055,-0.6907978006165236
0.056,-1.1957223308120772
0.057,-0.7226330495121011
0.058,-0.7493885177191786
0.059000000000000004,-0.6376318994389175
0.06,-0.7990854172501817
0.061,-0.6650527408932642
0.062,-0.8871324937138317
0.063,-0.7757619480875205
0.064,-0.9359026507645448
0.065,-1.1774369300897876
0.066,-1.166027376859539
0.067,-0.9074536944399858
0.068,-1.2063365848717336
0.069,-0.8081201216326734
0.07,-1.3351152655443286
0.07100000000000001,-1.3730202902981214
0.07200000000000001,-1.1263267473650926
0.073,-1.0933903193953913
0.074,-1.444454887064225
0.075,-1.522175392798171
0.076,-1.344903238820044
0.077,-1.2649682392532036
0.078,-1.1520236679591893
0.079,-0.9648944165283782
0.08,-0.6186343572436958
0.081,-0.5725999435873748
0.082,-0.8905333154282637
0.083,-0.5235288480673408
0.084,-0.2693193756894354
0.085,-0.33758487552404537
0.08600000000000001,-0.15321846047929888
0.08700000000000001,-0.019561988638435834
0.088,-0.47431416353792766
0.089,-0.7542317312291023
0.09,-0.234377494861856
0.091,-0.17303413138601598
0.092,-0.18135451196397212
0.093,-0.01968503812732203
0.094,0.06096230673673231
0.095,-0.1958506650921158
0.096,-0.016621421810926518
0.097,0.027170224012111777
0.098,0.04762137469964822
0.099,-0.24465985450832328
0.1,-0.1694693269120845
0.101,-0.7635240756331652
0.10200000000000001,-0.6144037250029462
0.10300000000000001,-0.45921367138630625
0.10400000000000001,-0.29993986411868606
0.105,-0.11837469677362933
0.106,-0.41485941601830556
0.107,-0.48894839438819426
0.108,-0.5273954672408934
0.109,-0.7886957259361891
0.11,-0.8960031987543072
0.111,-1.3147108954163538
0.112,-1.0689865541325934
0.113,-1.0707772428601456
0.114,-1.2729255973909854
0.115,-1.0587926061369588
0.116,-0.8416685312338782
0.117,-0.9782905910908793
0.11800000000000001,-0.819097382698244
0.11900000000000001,-1.1409069917439802
0.12,-1.0966529833289833
0.121,-1.480653895783231
0.122,-1.3295140179995002
0.123,-1.0043312872577659
0.124,-0.8804624294272019
0.125,-0.9366388625863504
0.126,-1.2960436681558174
0.127,-1.092334031993596
0.128,-1.1980941691153228
0.129,-0.9558294119649934
0.13,-0.510581663790433
0.131,-0.5187934696211876
0.132,-0.38140299301754926
0.133,-0.5076993675810738
0.134,-0.6174958402116281
